,ki,kd,time
"(0.25, 0.4)",0.25,0.4,4.5952308177948
"(0.25, 0.5)",0.25,0.5,15.028594255447388
"(0.25, 0.6000000000000001)",0.25,0.6000000000000001,4.72581934928894
"(0.25, 0.7000000000000001)",0.25,0.7000000000000001,15.076461553573608
"(0.25, 0.8)",0.25,0.8,15.091253519058228
"(0.25, 0.9)",0.25,0.9,15.09964656829834
"(0.26, 0.0)",0.26,0.0,15.033974885940552
"(0.26, 0.1)",0.26,0.1,15.07300090789795
"(0.26, 0.2)",0.26,0.2,15.048651933670044
"(0.26, 0.30000000000000004)",0.26,0.30000000000000004,15.004165172576904
"(0.26, 0.4)",0.26,0.4,15.107518196105957
"(0.26, 0.5)",0.26,0.5,15.022383689880371
"(0.26, 0.6000000000000001)",0.26,0.6000000000000001,15.01705265045166
"(0.26, 0.7000000000000001)",0.26,0.7000000000000001,15.046688318252563
"(0.26, 0.8)",0.26,0.8,15.075252771377563
"(0.26, 0.9)",0.26,0.9,15.078569412231445
"(0.27, 0.0)",0.27,0.0,15.062097787857056
"(0.27, 0.1)",0.27,0.1,15.029946565628052
"(0.27, 0.2)",0.27,0.2,15.108664512634277
"(0.27, 0.30000000000000004)",0.27,0.30000000000000004,15.002153158187866
"(0.27, 0.4)",0.27,0.4,15.013362407684326
"(0.27, 0.5)",0.27,0.5,15.061854839324951
"(0.27, 0.6000000000000001)",0.27,0.6000000000000001,15.080414295196533
"(0.27, 0.7000000000000001)",0.27,0.7000000000000001,15.02896237373352
"(0.27, 0.8)",0.27,0.8,15.071120023727417
"(0.27, 0.9)",0.27,0.9,15.07936429977417
"(0.28, 0.0)",0.28,0.0,15.023533582687378
"(0.28, 0.1)",0.28,0.1,15.069417953491211
"(0.28, 0.2)",0.28,0.2,15.048959732055664
"(0.28, 0.30000000000000004)",0.28,0.30000000000000004,15.056870937347412
"(0.28, 0.4)",0.28,0.4,4.578409671783447
"(0.28, 0.5)",0.28,0.5,15.060864925384521
"(0.28, 0.6000000000000001)",0.28,0.6000000000000001,15.02285099029541
"(0.28, 0.7000000000000001)",0.28,0.7000000000000001,15.038486242294312
"(0.28, 0.8)",0.28,0.8,15.021179437637329
"(0.28, 0.9)",0.28,0.9,15.080546855926514
"(0.29, 0.0)",0.29,0.0,15.026081800460815
"(0.29, 0.1)",0.29,0.1,15.0551016330719
"(0.29, 0.2)",0.29,0.2,15.059678792953491
"(0.29, 0.30000000000000004)",0.29,0.30000000000000004,15.053428173065186
"(0.29, 0.4)",0.29,0.4,15.050816535949707
"(0.29, 0.5)",0.29,0.5,15.120866298675537
"(0.29, 0.6000000000000001)",0.29,0.6000000000000001,15.023432970046997
"(0.29, 0.7000000000000001)",0.29,0.7000000000000001,15.091361045837402
"(0.29, 0.8)",0.29,0.8,15.055045127868652
"(0.29, 0.9)",0.29,0.9,15.046562910079956
"(0.3, 0.0)",0.3,0.0,15.03134036064148
"(0.3, 0.1)",0.3,0.1,15.085970640182495
"(0.3, 0.2)",0.3,0.2,15.120301723480225
"(0.3, 0.30000000000000004)",0.3,0.30000000000000004,15.046558141708374
"(0.3, 0.4)",0.3,0.4,15.050504684448242
"(0.3, 0.5)",0.3,0.5,15.0985107421875
"(0.3, 0.6000000000000001)",0.3,0.6000000000000001,15.019540071487427
"(0.3, 0.7000000000000001)",0.3,0.7000000000000001,15.072652339935303
"(0.3, 0.8)",0.3,0.8,15.07662057876587
"(0.3, 0.9)",0.3,0.9,15.013704538345337
"(0.31, 0.0)",0.31,0.0,15.037086963653564
"(0.31, 0.1)",0.31,0.1,15.114237546920776
"(0.31, 0.2)",0.31,0.2,15.029131174087524
"(0.31, 0.30000000000000004)",0.31,0.30000000000000004,15.087451696395874
"(0.31, 0.4)",0.31,0.4,15.057566404342651
"(0.31, 0.5)",0.31,0.5,15.065304517745972
"(0.31, 0.6000000000000001)",0.31,0.6000000000000001,15.057289838790894
"(0.31, 0.7000000000000001)",0.31,0.7000000000000001,15.053269624710083
"(0.31, 0.8)",0.31,0.8,15.061627388000488
"(0.31, 0.9)",0.31,0.9,15.056252241134644
"(0.32, 0.0)",0.32,0.0,15.05515432357788
"(0.32, 0.1)",0.32,0.1,15.063791036605835
"(0.32, 0.2)",0.32,0.2,15.140082597732544
"(0.32, 0.30000000000000004)",0.32,0.30000000000000004,15.076113939285278
"(0.32, 0.4)",0.32,0.4,15.084091901779175
"(0.32, 0.5)",0.32,0.5,15.030465602874756
"(0.32, 0.6000000000000001)",0.32,0.6000000000000001,15.006778955459595
"(0.32, 0.7000000000000001)",0.32,0.7000000000000001,15.05363941192627
"(0.32, 0.8)",0.32,0.8,15.054850816726685
"(0.32, 0.9)",0.32,0.9,15.063354730606079
"(0.33, 0.0)",0.33,0.0,15.046741247177124
"(0.33, 0.1)",0.33,0.1,15.018303155899048
"(0.33, 0.2)",0.33,0.2,15.046642065048218
"(0.33, 0.30000000000000004)",0.33,0.30000000000000004,15.033921003341675
"(0.33, 0.4)",0.33,0.4,15.06441330909729
"(0.33, 0.5)",0.33,0.5,15.080892324447632
"(0.33, 0.6000000000000001)",0.33,0.6000000000000001,15.058695316314697
"(0.33, 0.7000000000000001)",0.33,0.7000000000000001,15.056655645370483
"(0.33, 0.8)",0.33,0.8,15.034120559692383
"(0.33, 0.9)",0.33,0.9,15.053191184997559
"(0.34, 0.0)",0.34,0.0,15.054497718811035
"(0.34, 0.1)",0.34,0.1,15.040732145309448
"(0.34, 0.2)",0.34,0.2,15.04888391494751
"(0.34, 0.30000000000000004)",0.34,0.30000000000000004,15.048861026763916
"(0.34, 0.4)",0.34,0.4,15.056828498840332
"(0.34, 0.5)",0.34,0.5,15.09622573852539
"(0.34, 0.6000000000000001)",0.34,0.6000000000000001,15.054215908050537
"(0.34, 0.7000000000000001)",0.34,0.7000000000000001,15.046921491622925
"(0.34, 0.8)",0.34,0.8,15.081337928771973
"(0.34, 0.9)",0.34,0.9,15.032639265060425
"(0.35000000000000003, 0.0)",0.35000000000000003,0.0,15.046209573745728
"(0.35000000000000003, 0.1)",0.35000000000000003,0.1,15.033255815505981
"(0.35000000000000003, 0.2)",0.35000000000000003,0.2,15.030527353286743
"(0.35000000000000003, 0.30000000000000004)",0.35000000000000003,0.30000000000000004,4.80539870262146
"(0.35000000000000003, 0.4)",0.35000000000000003,0.4,15.070863485336304
"(0.35000000000000003, 0.5)",0.35000000000000003,0.5,15.074570417404175
"(0.35000000000000003, 0.6000000000000001)",0.35000000000000003,0.6000000000000001,15.034912824630737
"(0.35000000000000003, 0.7000000000000001)",0.35000000000000003,0.7000000000000001,15.071752309799194
"(0.35000000000000003, 0.8)",0.35000000000000003,0.8,15.064694166183472
"(0.35000000000000003, 0.9)",0.35000000000000003,0.9,15.062849044799805
"(0.36, 0.0)",0.36,0.0,15.054262399673462
"(0.36, 0.1)",0.36,0.1,15.071809530258179
"(0.36, 0.2)",0.36,0.2,15.03268551826477
"(0.36, 0.30000000000000004)",0.36,0.30000000000000004,15.085754871368408
